key	clickSelects	PANEL	group
0	0	1	1
1	1	1	2
2	2	1	3
3	3	1	4
4	4	1	5
5	5	1	6
6	6	1	7
7	7	1	8
8	8	1	9
9	9	1	10
10	10	1	11
11	11	1	12
12	12	1	13
13	13	1	14
14	14	1	15
15	15	1	16
16	16	1	17
17	17	1	18
18	18	1	19
19	19	1	20
20	20	1	21
21	21	1	22
22	22	1	23
23	23	1	24
24	24	1	25
25	25	1	26
26	26	1	27
27	27	1	28
28	28	1	29
29	29	1	30
30	30	1	31
31	31	1	32
32	32	1	33
33	33	1	34
34	34	1	35
35	35	1	36
36	36	1	37
37	37	1	38
38	38	1	39
39	39	1	40
40	40	1	41
41	41	1	42
42	42	1	43
43	43	1	44
44	44	1	45
45	45	1	46
46	46	1	47
47	47	1	48
48	48	1	49
49	49	1	50
50	50	1	51
51	51	1	52
52	52	1	53
53	53	1	54
54	54	1	55
55	55	1	56
56	56	1	57
57	57	1	58
58	58	1	59
59	59	1	60
60	60	1	61
61	61	1	62
62	62	1	63
63	63	1	64
64	64	1	65
65	65	1	66
66	66	1	67
67	67	1	68
68	68	1	69
69	69	1	70
70	70	1	71
71	71	1	72
72	72	1	73
73	73	1	74
74	74	1	75
75	75	1	76
76	76	1	77
77	77	1	78
78	78	1	79
79	79	1	80
80	80	1	81
81	81	1	82
82	82	1	83
83	83	1	84
84	84	1	85
85	85	1	86
86	86	1	87
87	87	1	88
88	88	1	89
89	89	1	90
90	90	1	91
91	91	1	92
92	92	1	93
93	93	1	94
94	94	1	95
95	95	1	96
96	96	1	97
97	97	1	98
98	98	1	99
99	99	1	100
100	100	1	101
0	0	2	102
1	1	2	103
2	2	2	104
3	3	2	105
4	4	2	106
5	5	2	107
6	6	2	108
7	7	2	109
8	8	2	110
9	9	2	111
10	10	2	112
11	11	2	113
12	12	2	114
13	13	2	115
14	14	2	116
15	15	2	117
16	16	2	118
17	17	2	119
18	18	2	120
19	19	2	121
20	20	2	122
21	21	2	123
22	22	2	124
23	23	2	125
24	24	2	126
25	25	2	127
26	26	2	128
27	27	2	129
28	28	2	130
29	29	2	131
30	30	2	132
31	31	2	133
32	32	2	134
33	33	2	135
34	34	2	136
35	35	2	137
36	36	2	138
37	37	2	139
38	38	2	140
39	39	2	141
40	40	2	142
41	41	2	143
42	42	2	144
43	43	2	145
44	44	2	146
45	45	2	147
46	46	2	148
47	47	2	149
48	48	2	150
49	49	2	151
50	50	2	152
51	51	2	153
52	52	2	154
53	53	2	155
54	54	2	156
55	55	2	157
56	56	2	158
57	57	2	159
58	58	2	160
59	59	2	161
60	60	2	162
61	61	2	163
62	62	2	164
63	63	2	165
64	64	2	166
65	65	2	167
66	66	2	168
67	67	2	169
68	68	2	170
69	69	2	171
70	70	2	172
71	71	2	173
72	72	2	174
73	73	2	175
74	74	2	176
75	75	2	177
76	76	2	178
77	77	2	179
78	78	2	180
79	79	2	181
80	80	2	182
81	81	2	183
82	82	2	184
83	83	2	185
84	84	2	186
85	85	2	187
86	86	2	188
87	87	2	189
88	88	2	190
89	89	2	191
90	90	2	192
91	91	2	193
92	92	2	194
93	93	2	195
94	94	2	196
95	95	2	197
96	96	2	198
97	97	2	199
98	98	2	200
99	99	2	201
100	100	2	202
